,name,height,weight,bday,exp,college
0,Carmelo Anthony,6-8,240,"May 29, 1984",13,Syracuse University
1,Ron Baker,6-4,220,"March 30, 1993",0,Wichita State University
2,Willy Hernangomez,6-11,240,"May 27, 1994",0,
3,Justin Holiday,6-6,185,"April 5, 1989",3,University of Washington
4,Brandon Jennings,6-1,170,"September 23, 1989",7,
5,Mindaugas Kuzminskas,6-9,215,"October 19, 1989",0,
6,Courtney Lee,6-5,200,"October 3, 1985",8,Western Kentucky University
7,Maurice Ndour,6-9,200,"June 18, 1992",0,Ohio University
8,Joakim Noah,6-11,230,"February 25, 1985",9,University of Florida
9,Kyle O'Quinn,6-10,250,"March 26, 1990",4,Norfolk State University
10,Marshall Plumlee,7-0,250,"July 14, 1992",0,Duke University
11,Kristaps Porzingis,7-3,240,"August 2, 1995",1,
12,Chasson Randle,6-2,185,"February 5, 1993",0,Stanford University
13,Derrick Rose,6-3,190,"October 4, 1988",7,University of Memphis
14,Lance Thomas,6-8,235,"April 24, 1988",5,Duke University
15,Sasha Vujacic,6-7,195,"March 8, 1984",9,
