,Team,Name,Height,Weight,Birthdate,Experience,College
0,Boston Celtics,Brandon Bass,6-8,250,"April 30, 1985",9,Louisiana State University
1,Boston Celtics,Avery Bradley,6-2,180,"November 26, 1990",4,University of Texas at Austin
2,Boston Celtics,Jae Crowder,6-6,235,"July 6, 1990",2,Marquette University
3,Boston Celtics,Luigi Datome,6-8,215,"November 27, 1987",1,
4,Boston Celtics,Jeff Green,6-9,235,"August 28, 1986",6,Georgetown University
5,Boston Celtics,Jonas Jerebko,6-10,231,"March 2, 1987",4,
6,Boston Celtics,Jameer Nelson,6-0,190,"February 9, 1982",10,Saint Joseph's University
7,Boston Celtics,Kelly Olynyk,7-0,238,"April 19, 1991",1,Gonzaga University
8,Boston Celtics,Dwight Powell,6-11,240,"July 20, 1991",0,Stanford University
9,Boston Celtics,Phil Pressey,5-11,175,"February 17, 1991",1,University of Missouri
10,Boston Celtics,Tayshaun Prince,6-9,212,"February 28, 1980",12,University of Kentucky
11,Boston Celtics,Shavlik Randolph,6-10,240,"November 24, 1983",7,Duke University
12,Boston Celtics,Rajon Rondo,6-1,186,"February 22, 1986",8,University of Kentucky
13,Boston Celtics,Marcus Smart,6-4,220,"March 6, 1994",0,Oklahoma State University
14,Boston Celtics,Jared Sullinger,6-9,260,"March 4, 1992",2,Ohio State University
15,Boston Celtics,Isaiah Thomas,5-9,185,"February 7, 1989",3,University of Washington
16,Boston Celtics,Marcus Thornton,6-4,205,"June 5, 1987",5,Louisiana State University
17,Boston Celtics,Evan Turner,6-7,220,"October 27, 1988",4,Ohio State University
18,Boston Celtics,Gerald Wallace,6-7,215,"July 23, 1982",13,University of Alabama
19,Boston Celtics,Brandan Wright,6-10,210,"October 5, 1987",6,University of North Carolina
20,Boston Celtics,James Young,6-6,215,"August 16, 1995",0,University of Kentucky
21,Boston Celtics,Tyler Zeller,7-0,253,"January 17, 1990",2,University of North Carolina
