,Team,Season,Name,Height,Weight,Birthdate,Experience,College
0,Indiana Pacers,2017-2018,Victor Oladipo,6-4,210,"May 4, 1992",4,Indiana University
1,Indiana Pacers,2017-2018,Myles Turner,6-11,243,"March 24, 1996",2,University of Texas at Austin
2,Indiana Pacers,2017-2018,Thaddeus Young,6-8,221,"June 21, 1988",10,Georgia Institute of Technology
3,Indiana Pacers,2017-2018,Cory Joseph,6-3,193,"August 20, 1991",6,University of Texas at Austin
4,Indiana Pacers,2017-2018,Glenn Robinson III,6-6,222,"January 8, 1994",3,University of Michigan
5,Indiana Pacers,2017-2018,Joe Young,6-2,180,"June 27, 1992",2,University of Oregon
6,Indiana Pacers,2017-2018,Al Jefferson,6-10,289,"January 4, 1985",13,
7,Indiana Pacers,2017-2018,Domantas Sabonis,6-11,240,"May 3, 1996",1,Gonzaga University
8,Indiana Pacers,2017-2018,Lance Stephenson,6-5,230,"September 5, 1990",7,University of Cincinnati
9,Indiana Pacers,2017-2018,T.J. Leaf,6-10,222,"April 30, 1997",0,"University of California, Los Angeles"
10,Indiana Pacers,2017-2018,Bojan Bogdanovic,6-8,216,"April 18, 1989",3,
11,Indiana Pacers,2017-2018,Ike Anigbogu,6-10,252,"October 22, 1998",0,"University of California, Los Angeles"
12,Indiana Pacers,2017-2018,Darren Collison,6-0,175,"August 23, 1987",8,"University of California, Los Angeles"
13,Indiana Pacers,2017-2018,Damien Wilkins,6-6,225,"January 11, 1980",9,University of Georgia
14,Indiana Pacers,2017-2018,Alex Poythress  (TW),6-7,238,"September 6, 1993",1,University of Kentucky
15,Indiana Pacers,2017-2018,Edmond Sumner  (TW),6-6,176,"December 31, 1995",0,Xavier University
