,Team,Season,Name,Height,Weight,Birthdate,Experience,College
0,Indiana Pacers,2015-2016,Lavoy Allen,6-9,260,"February 4, 1989",4,Temple University
1,Indiana Pacers,2015-2016,Chase Budinger,6-7,209,"May 22, 1988",6,University of Arizona
2,Indiana Pacers,2015-2016,Rakeem Christmas,6-9,250,"December 1, 1991",0,Syracuse University
3,Indiana Pacers,2015-2016,Monta Ellis,6-3,185,"October 26, 1985",10,
4,Indiana Pacers,2015-2016,Paul George,6-9,220,"May 2, 1990",5,"California State University, Fresno"
5,Indiana Pacers,2015-2016,George Hill,6-3,188,"May 4, 1986",7,Indiana University-Purdue University Indianapolis
6,Indiana Pacers,2015-2016,Jordan Hill,6-10,235,"July 27, 1987",6,University of Arizona
7,Indiana Pacers,2015-2016,Solomon Hill,6-7,225,"March 18, 1991",2,University of Arizona
8,Indiana Pacers,2015-2016,Ty Lawson,5-11,195,"November 3, 1987",6,University of North Carolina
9,Indiana Pacers,2015-2016,Ian Mahinmi,6-11,250,"November 5, 1986",7,
10,Indiana Pacers,2015-2016,C.J. Miles,6-6,225,"April 18, 1987",10,
11,Indiana Pacers,2015-2016,Glenn Robinson,6-6,222,"January 8, 1994",1,University of Michigan
12,Indiana Pacers,2015-2016,Rodney Stuckey,6-5,210,"April 21, 1986",8,Eastern Washington University
13,Indiana Pacers,2015-2016,Myles Turner,6-11,243,"March 24, 1996",0,University of Texas at Austin
14,Indiana Pacers,2015-2016,Shayne Whittington,6-11,250,"March 27, 1991",1,Western Michigan University
15,Indiana Pacers,2015-2016,Joe Young,6-2,180,"June 27, 1992",0,University of Oregon
