,Team,Name,Height,Weight,Birthdate,Experience,College
0,Los Angeles Clippers,Matt Barnes,6-7,226,"March 9, 1980",11,"University of California, Los Angeles"
1,Los Angeles Clippers,Reggie Bullock,6-7,205,"March 16, 1991",1,University of North Carolina
2,Los Angeles Clippers,Jamal Crawford,6-5,200,"March 20, 1980",14,University of Michigan
3,Los Angeles Clippers,Jared Cunningham,6-4,195,"May 22, 1991",2,Oregon State University
4,Los Angeles Clippers,Glen Davis,6-9,289,"January 1, 1986",7,Louisiana State University
5,Los Angeles Clippers,Chris Douglas-Roberts,6-7,200,"January 8, 1987",5,University of Memphis
6,Los Angeles Clippers,Jordan Farmar,6-2,180,"November 30, 1986",7,"University of California, Los Angeles"
7,Los Angeles Clippers,Blake Griffin,6-10,251,"March 16, 1989",4,University of Oklahoma
8,Los Angeles Clippers,Jordan Hamilton,6-7,220,"October 6, 1990",3,University of Texas at Austin
9,Los Angeles Clippers,Spencer Hawes,7-1,245,"April 28, 1988",7,University of Washington
10,Los Angeles Clippers,Lester Hudson,6-3,190,"August 7, 1984",3,University of Tennessee at Martin
11,Los Angeles Clippers,Dahntay Jones,6-6,225,"December 27, 1980",10,Duke University
12,Los Angeles Clippers,DeAndre Jordan,6-11,265,"July 21, 1988",6,Texas A&M University
13,Los Angeles Clippers,Chris Paul,6-0,175,"May 6, 1985",9,Wake Forest University
14,Los Angeles Clippers,J.J. Redick,6-4,190,"June 24, 1984",8,Duke University
15,Los Angeles Clippers,Austin Rivers,6-4,200,"August 1, 1992",2,Duke University
16,Los Angeles Clippers,Nate Robinson,5-9,180,"May 31, 1984",9,University of Washington
17,Los Angeles Clippers,Hedo Turkoglu,6-10,220,"March 19, 1979",14,
18,Los Angeles Clippers,Ekpe Udoh,6-10,240,"May 20, 1987",4,Baylor University
19,Los Angeles Clippers,C.J. Wilcox,6-5,195,"December 30, 1990",0,University of Washington
