,name,height,weight,bday,exp,college
0,Cole Aldrich,6-11,250,"October 31, 1988",5,University of Kansas
1,Jeff Ayres,6-9,240,"April 29, 1987",5,Arizona State University
2,Jamal Crawford,6-5,200,"March 20, 1980",15,University of Michigan
3,Branden Dawson,6-6,225,"February 1, 1993",0,Michigan State University
4,Jeff Green,6-9,235,"August 28, 1986",7,Georgetown University
5,Blake Griffin,6-10,251,"March 16, 1989",5,University of Oklahoma
6,Wesley Johnson,6-7,215,"July 11, 1987",5,Syracuse University
7,DeAndre Jordan,6-11,265,"July 21, 1988",7,Texas A&M University
8,Luc Mbah a Moute,6-8,230,"September 9, 1986",7,"University of California, Los Angeles"
9,Chris Paul,6-0,175,"May 6, 1985",10,Wake Forest University
10,Paul Pierce,6-7,235,"October 13, 1977",17,University of Kansas
11,Pablo Prigioni,6-3,185,"May 17, 1977",3,
12,J.J. Redick,6-4,190,"June 24, 1984",9,Duke University
13,Austin Rivers,6-4,200,"August 1, 1992",3,Duke University
14,Josh Smith,6-9,225,"December 5, 1985",11,
15,Lance Stephenson,6-5,230,"September 5, 1990",5,University of Cincinnati
16,Alex Stepheson,6-10,270,"August 7, 1987",0,University of Southern California
17,C.J. Wilcox,6-5,195,"December 30, 1990",1,University of Washington
