,Team,Season,Name,Height,Weight,Birthdate,Experience,College
0,Memphis Grizzlies,2017-2018,Marc Gasol,7-1,255,"January 29, 1985",9,
1,Memphis Grizzlies,2017-2018,Jarell Martin,6-10,239,"May 24, 1994",2,Louisiana State University
2,Memphis Grizzlies,2017-2018,Brandan Wright,6-10,210,"October 5, 1987",9,University of North Carolina
3,Memphis Grizzlies,2017-2018,Chandler Parsons,6-10,230,"October 25, 1988",6,University of Florida
4,Memphis Grizzlies,2017-2018,Andrew Harrison,6-6,213,"October 28, 1994",1,University of Kentucky
5,Memphis Grizzlies,2017-2018,Mike Conley,6-1,175,"October 11, 1987",10,Ohio State University
6,Memphis Grizzlies,2017-2018,James Ennis,6-7,210,"July 1, 1990",3,"California State University, Long Beach"
7,Memphis Grizzlies,2017-2018,Deyonta Davis,6-11,237,"December 2, 1996",1,Michigan State University
8,Memphis Grizzlies,2017-2018,Ben McLemore,6-5,195,"February 11, 1993",4,University of Kansas
9,Memphis Grizzlies,2017-2018,Tyreke Evans,6-6,220,"September 19, 1989",8,University of Memphis
10,Memphis Grizzlies,2017-2018,Wayne Selden,6-5,230,"September 30, 1994",1,University of Kansas
11,Memphis Grizzlies,2017-2018,Mario Chalmers,6-2,190,"May 19, 1986",8,University of Kansas
12,Memphis Grizzlies,2017-2018,Dillon Brooks,6-6,220,"January 22, 1996",0,University of Oregon
13,Memphis Grizzlies,2017-2018,Ivan Rabb,6-10,220,"February 4, 1997",0,University of California
14,Memphis Grizzlies,2017-2018,JaMychal Green,6-9,227,"June 21, 1990",3,University of Alabama
15,Memphis Grizzlies,2017-2018,Vince Hunter  (TW),6-8,208,"August 5, 1994",0,University of Texas at El Paso
16,Memphis Grizzlies,2017-2018,Kobi Simmons  (TW),6-5,166,"July 4, 1997",0,University of Arizona
