,Team,Name,Height,Weight,Birthdate,Experience,College
0,Minnesota Timberwolves,Nemanja Bjelica,6-10,240,"May 9, 1988",0,
1,Minnesota Timberwolves,Gorgui Dieng,6-11,241,"January 18, 1990",2,University of Louisville
2,Minnesota Timberwolves,Kevin Garnett,6-11,240,"May 19, 1976",20,
3,Minnesota Timberwolves,Tyus Jones,6-2,195,"May 10, 1996",0,Duke University
4,Minnesota Timberwolves,Zach LaVine,6-5,189,"March 10, 1995",1,"University of California, Los Angeles"
5,Minnesota Timberwolves,Kevin Martin,6-7,199,"February 1, 1983",11,Western Carolina University
6,Minnesota Timberwolves,Andre Miller,6-3,200,"March 19, 1976",16,University of Utah
7,Minnesota Timberwolves,Shabazz Muhammad,6-6,223,"November 13, 1992",2,"University of California, Los Angeles"
8,Minnesota Timberwolves,Adreian Payne,6-10,237,"February 19, 1991",1,Michigan State University
9,Minnesota Timberwolves,Nikola Pekovic,6-11,307,"January 3, 1986",5,
10,Minnesota Timberwolves,Tayshaun Prince,6-9,212,"February 28, 1980",13,University of Kentucky
11,Minnesota Timberwolves,Ricky Rubio,6-4,194,"October 21, 1990",4,
12,Minnesota Timberwolves,Damjan Rudez,6-10,228,"June 17, 1986",1,
13,Minnesota Timberwolves,Greg Smith,6-10,250,"January 8, 1991",4,"California State University, Fresno"
14,Minnesota Timberwolves,Karl-Anthony Towns,7-0,244,"November 15, 1995",0,University of Kentucky
15,Minnesota Timberwolves,Andrew Wiggins,6-8,199,"February 23, 1995",1,University of Kansas
