,Team,Name,Height,Weight,Birthdate,Experience,College
0,San Antonio Spurs,LaMarcus Aldridge,6-11,260,"July 19, 1985",10,University of Texas at Austin
1,San Antonio Spurs,Kyle Anderson,6-9,230,"September 20, 1993",2,"University of California, Los Angeles"
2,San Antonio Spurs,Joel Anthony,6-9,245,"August 9, 1982",9,"University of Nevada, Las Vegas"
3,San Antonio Spurs,Davis Bertans,6-10,210,"November 12, 1992",0,
4,San Antonio Spurs,Dewayne Dedmon,7-0,245,"August 12, 1989",3,University of Southern California
5,San Antonio Spurs,Bryn Forbes,6-3,190,"July 23, 1993",0,Michigan State University
6,San Antonio Spurs,Pau Gasol,7-0,250,"July 6, 1980",15,
7,San Antonio Spurs,Manu Ginobili,6-6,205,"July 28, 1977",14,
8,San Antonio Spurs,Danny Green,6-6,215,"June 22, 1987",7,University of North Carolina
9,San Antonio Spurs,Nicolas Laprovittola,6-4,180,"January 31, 1990",0,
10,San Antonio Spurs,David Lee,6-9,245,"April 29, 1983",11,University of Florida
11,San Antonio Spurs,Kawhi Leonard,6-7,230,"June 29, 1991",5,San Diego State University
12,San Antonio Spurs,Patty Mills,6-0,185,"August 11, 1988",7,Saint Mary's College of California
13,San Antonio Spurs,Dejounte Murray,6-5,170,"September 19, 1996",0,University of Washington
14,San Antonio Spurs,Tony Parker,6-2,185,"May 17, 1982",15,
15,San Antonio Spurs,Jonathon Simmons,6-6,195,"September 14, 1989",1,University of Houston
