,name,height,weight,bday,exp,college
0,LaMarcus Aldridge,6-11,260,"July 19, 1985",10,University of Texas at Austin
1,Kyle Anderson,6-9,230,"September 20, 1993",2,"University of California, Los Angeles"
2,Joel Anthony,6-9,245,"August 9, 1982",9,"University of Nevada, Las Vegas"
3,Davis Bertans,6-10,210,"November 12, 1992",0,
4,Dewayne Dedmon,7-0,245,"August 12, 1989",3,University of Southern California
5,Bryn Forbes,6-3,190,"July 23, 1993",0,Michigan State University
6,Pau Gasol,7-0,250,"July 6, 1980",15,
7,Manu Ginobili,6-6,205,"July 28, 1977",14,
8,Danny Green,6-6,215,"June 22, 1987",7,University of North Carolina
9,Nicolas Laprovittola,6-4,180,"January 31, 1990",0,
10,David Lee,6-9,245,"April 29, 1983",11,University of Florida
11,Kawhi Leonard,6-7,230,"June 29, 1991",5,San Diego State University
12,Patty Mills,6-0,185,"August 11, 1988",7,Saint Mary's College of California
13,Dejounte Murray,6-5,170,"September 19, 1996",0,University of Washington
14,Tony Parker,6-2,185,"May 17, 1982",15,
15,Jonathon Simmons,6-6,195,"September 14, 1989",1,University of Houston
