,name,height,weight,bday,exp,college
0,Sim Bhullar,7-5,360,"December 2, 1992",0,New Mexico State University
1,Omri Casspi,6-9,225,"June 22, 1988",5,
2,Darren Collison,6-0,175,"August 23, 1987",5,"University of California, Los Angeles"
3,DeMarcus Cousins,6-11,270,"August 13, 1990",4,University of Kentucky
4,Reggie Evans,6-8,245,"May 18, 1980",12,University of Iowa
5,Rudy Gay,6-8,230,"August 17, 1986",8,University of Connecticut
6,Ryan Hollins,7-0,240,"October 10, 1984",8,"University of California, Los Angeles"
7,Carl Landry,6-9,248,"September 19, 1983",7,Purdue University
8,Ray McCallum,6-3,190,"June 12, 1991",1,University of Detroit Mercy
9,Ben McLemore,6-5,195,"February 11, 1993",1,University of Kansas
10,Andre Miller,6-3,200,"March 19, 1976",15,University of Utah
11,Quincy Miller,6-9,210,"November 18, 1992",2,Baylor University
12,Eric Moreland,6-10,238,"December 24, 1991",0,Oregon State University
13,Ramon Sessions,6-3,190,"April 11, 1986",7,"University of Nevada, Reno"
14,Nik Stauskas,6-6,205,"October 7, 1993",0,University of Michigan
15,David Stockton,5-11,165,"June 24, 1991",0,Gonzaga University
16,Jason Thompson,6-11,250,"July 21, 1986",6,Rider University
17,David Wear,6-10,230,"September 21, 1990",0,"University of California, Los Angeles"
18,Derrick Williams,6-8,240,"May 25, 1991",3,University of Arizona
