,Team,Season,Name,Height,Weight,Birthdate,Experience,College
0,Sacramento Kings,2015-2016,Quincy Acy,6-7,240,"October 6, 1990",3,Baylor University
1,Sacramento Kings,2015-2016,James Anderson,6-6,213,"March 25, 1989",4,Oklahoma State University
2,Sacramento Kings,2015-2016,Marco Belinelli,6-5,210,"March 25, 1986",8,
3,Sacramento Kings,2015-2016,Caron Butler,6-7,228,"March 13, 1980",13,University of Connecticut
4,Sacramento Kings,2015-2016,Omri Casspi,6-9,225,"June 22, 1988",6,
5,Sacramento Kings,2015-2016,Willie Cauley-Stein,7-0,240,"August 18, 1993",0,University of Kentucky
6,Sacramento Kings,2015-2016,Darren Collison,6-0,175,"August 23, 1987",6,"University of California, Los Angeles"
7,Sacramento Kings,2015-2016,DeMarcus Cousins,6-11,270,"August 13, 1990",5,University of Kentucky
8,Sacramento Kings,2015-2016,Seth Curry,6-2,185,"August 23, 1990",2,Duke University
9,Sacramento Kings,2015-2016,Duje Dukan,6-9,220,"December 4, 1991",0,University of Wisconsin
10,Sacramento Kings,2015-2016,Rudy Gay,6-8,230,"August 17, 1986",9,University of Connecticut
11,Sacramento Kings,2015-2016,Kosta Koufos,7-0,265,"February 24, 1989",7,Ohio State University
12,Sacramento Kings,2015-2016,Ben McLemore,6-5,195,"February 11, 1993",2,University of Kansas
13,Sacramento Kings,2015-2016,Eric Moreland,6-10,238,"December 24, 1991",1,Oregon State University
14,Sacramento Kings,2015-2016,Rajon Rondo,6-1,186,"February 22, 1986",9,University of Kentucky
