,Team,Name,Height,Weight,Birthdate,Experience,College
0,Cleveland Cavaliers,Chris Andersen,6-10,245,"July 7, 1978",14,Blinn College
1,Cleveland Cavaliers,Andrew Bogut,7-0,260,"November 28, 1984",11,University of Utah
2,Cleveland Cavaliers,Mike Dunleavy,6-9,230,"September 15, 1980",14,Duke University
3,Cleveland Cavaliers,Kay Felder,5-9,176,"March 29, 1995",0,Oakland University
4,Cleveland Cavaliers,Channing Frye,6-11,255,"May 17, 1983",10,University of Arizona
5,Cleveland Cavaliers,Kyrie Irving,6-3,193,"March 23, 1992",5,Duke University
6,Cleveland Cavaliers,LeBron James,6-8,250,"December 30, 1984",13,
7,Cleveland Cavaliers,Richard Jefferson,6-7,233,"June 21, 1980",15,University of Arizona
8,Cleveland Cavaliers,Dahntay Jones,6-6,225,"December 27, 1980",12,Duke University
9,Cleveland Cavaliers,James Jones,6-8,218,"October 4, 1980",13,University of Miami
10,Cleveland Cavaliers,Kyle Korver,6-7,212,"March 17, 1981",13,Creighton University
11,Cleveland Cavaliers,DeAndre Liggins,6-6,209,"March 31, 1988",3,University of Kentucky
12,Cleveland Cavaliers,Kevin Love,6-10,251,"September 7, 1988",8,"University of California, Los Angeles"
13,Cleveland Cavaliers,Jordan McRae,6-6,185,"March 28, 1991",1,University of Tennessee
14,Cleveland Cavaliers,Larry Sanders,6-11,235,"November 21, 1988",5,Virginia Commonwealth University
15,Cleveland Cavaliers,Iman Shumpert,6-5,220,"June 26, 1990",5,Georgia Institute of Technology
16,Cleveland Cavaliers,J.R. Smith,6-6,225,"September 9, 1985",12,
17,Cleveland Cavaliers,Edy Tavares,7-3,260,"March 22, 1992",1,
18,Cleveland Cavaliers,Tristan Thompson,6-9,238,"March 13, 1991",5,University of Texas at Austin
19,Cleveland Cavaliers,Deron Williams,6-3,200,"June 26, 1984",11,University of Illinois at Urbana-Champaign
20,Cleveland Cavaliers,Derrick Williams,6-8,240,"May 25, 1991",5,University of Arizona
