,Team,Season,Name,Height,Weight,Birthdate,Experience,College
0,Chicago Bulls,2016-2017,Jimmy Butler,6-8,236,"September 14, 1989",5,Marquette University
1,Chicago Bulls,2016-2017,Isaiah Canaan,6-0,201,"May 21, 1991",3,Murray State University
2,Chicago Bulls,2016-2017,Michael Carter-Williams,6-6,190,"October 10, 1991",3,Syracuse University
3,Chicago Bulls,2016-2017,Cristiano Felicio,6-10,275,"July 7, 1992",1,
4,Chicago Bulls,2016-2017,Taj Gibson,6-9,225,"June 24, 1985",7,University of Southern California
5,Chicago Bulls,2016-2017,Jerian Grant,6-4,195,"October 9, 1992",1,University of Notre Dame
6,Chicago Bulls,2016-2017,R.J. Hunter,6-5,185,"October 24, 1993",1,Georgia State University
7,Chicago Bulls,2016-2017,Joffrey Lauvergne,6-11,220,"September 30, 1991",2,
8,Chicago Bulls,2016-2017,Robin Lopez,7-0,255,"April 1, 1988",8,Stanford University
9,Chicago Bulls,2016-2017,Doug McDermott,6-8,225,"January 3, 1992",2,Creighton University
10,Chicago Bulls,2016-2017,Nikola Mirotic,6-10,220,"February 11, 1991",2,
11,Chicago Bulls,2016-2017,Anthony Morrow,6-5,210,"September 27, 1985",8,Georgia Institute of Technology
12,Chicago Bulls,2016-2017,Cameron Payne,6-3,185,"August 8, 1994",1,Murray State University
13,Chicago Bulls,2016-2017,Bobby Portis,6-11,230,"February 10, 1995",1,University of Arkansas
14,Chicago Bulls,2016-2017,Rajon Rondo,6-1,186,"February 22, 1986",10,University of Kentucky
15,Chicago Bulls,2016-2017,Denzel Valentine,6-6,212,"November 16, 1993",0,Michigan State University
16,Chicago Bulls,2016-2017,Dwyane Wade,6-4,220,"January 17, 1982",13,Marquette University
17,Chicago Bulls,2016-2017,Paul Zipser,6-8,215,"February 18, 1994",0,
