,Team,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Boston Celtics,Isaiah Thomas,27,76,76,33.8,9.0,19.4,.463,3.2,8.5,.379,5.8,10.9,.528,.546,7.8,8.5,.909,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,28.9
1,Boston Celtics,Avery Bradley,26,55,55,33.4,6.5,14.1,.463,2.0,5.0,.390,4.6,9.1,.504,.533,1.2,1.7,.731,1.2,4.9,6.1,2.2,1.2,0.2,1.6,2.6,16.3
2,Boston Celtics,Jae Crowder,26,72,72,32.4,4.6,10.0,.463,2.2,5.5,.398,2.4,4.5,.540,.572,2.4,3.0,.811,0.7,5.1,5.8,2.2,1.0,0.3,1.1,2.2,13.9
3,Boston Celtics,Al Horford,30,68,68,32.3,5.6,11.8,.473,1.3,3.6,.355,4.3,8.2,.524,.527,1.6,2.0,.800,1.4,5.4,6.8,5.0,0.8,1.3,1.7,2.0,14.0
4,Boston Celtics,Marcus Smart,22,79,24,30.4,3.4,9.5,.359,1.2,4.2,.283,2.2,5.3,.420,.422,2.6,3.2,.812,1.0,2.9,3.9,4.6,1.6,0.4,2.0,2.4,10.6
5,Boston Celtics,Kelly Olynyk,25,75,6,20.5,3.5,6.8,.512,0.9,2.6,.354,2.6,4.2,.608,.579,1.2,1.6,.732,1.0,3.8,4.8,2.0,0.6,0.4,1.3,2.8,9.0
6,Boston Celtics,Amir Johnson,29,80,77,20.1,2.7,4.6,.576,0.3,0.8,.409,2.3,3.8,.612,.612,0.8,1.3,.670,1.5,3.1,4.6,1.8,0.6,0.8,1.0,2.6,6.5
7,Boston Celtics,Jaylen Brown,20,78,20,17.2,2.5,5.4,.454,0.6,1.7,.341,1.9,3.7,.507,.508,1.1,1.6,.685,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,6.6
8,Boston Celtics,Terry Rozier,22,74,0,17.1,2.0,5.6,.367,0.8,2.4,.318,1.3,3.1,.405,.437,0.7,0.9,.773,0.5,2.5,3.1,1.8,0.6,0.1,0.6,0.9,5.5
9,Boston Celtics,Jonas Jerebko,29,78,6,15.8,1.5,3.4,.435,0.6,1.7,.346,0.9,1.7,.523,.521,0.3,0.5,.703,0.8,2.7,3.5,0.9,0.3,0.2,0.5,1.6,3.8
10,Boston Celtics,Gerald Green,31,47,0,11.4,2.0,4.9,.409,0.8,2.4,.351,1.2,2.6,.463,.494,0.7,0.9,.805,0.3,1.4,1.8,0.7,0.2,0.1,0.5,1.0,5.6
11,Boston Celtics,Tyler Zeller,27,51,5,10.3,1.5,3.1,.494,0.0,0.0,.000,1.5,3.1,.497,.494,0.4,0.8,.564,0.8,1.6,2.4,0.8,0.1,0.4,0.4,1.2,3.5
12,Boston Celtics,James Young,21,29,0,7.6,0.9,2.0,.431,0.4,1.2,.343,0.4,0.8,.565,.534,0.2,0.3,.667,0.2,0.7,0.9,0.1,0.3,0.1,0.1,0.5,2.3
13,Boston Celtics,Jordan Mickey,22,25,1,5.6,0.6,1.4,.441,0.0,0.0,.000,0.6,1.3,.455,.441,0.3,0.6,.571,0.5,0.8,1.4,0.3,0.1,0.2,0.4,0.5,1.5
14,Boston Celtics,Demetrius Jackson,22,5,0,3.4,0.6,0.8,.750,0.2,0.2,1.000,0.4,0.6,.667,.875,0.6,1.2,.500,0.4,0.4,0.8,0.6,0.0,0.0,0.0,0.0,2.0
15,Cleveland Cavaliers,LeBron James,32,74,74,37.8,9.9,18.2,.548,1.7,4.6,.363,8.3,13.5,.611,.594,4.8,7.2,.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4
16,Cleveland Cavaliers,Kyrie Irving,24,72,72,35.1,9.3,19.7,.473,2.5,6.1,.401,6.9,13.6,.505,.535,4.1,4.6,.905,0.7,2.5,3.2,5.8,1.2,0.3,2.5,2.2,25.2
17,Cleveland Cavaliers,Kevin Love,28,60,60,31.4,6.2,14.5,.427,2.4,6.5,.373,3.8,8.0,.471,.510,4.3,4.9,.871,2.5,8.6,11.1,1.9,0.9,0.4,2.0,2.1,19.0
