,Team,Season,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Boston Celtics,2017-2018,Al Horford,31,24,24,32.5,5.6,10.3,.549,1.5,3.3,.456,4.1,7.0,.593,.622,1.5,2.0,.787,1.3,6.8,8.0,5.4,0.6,1.1,2.2,1.7,14.3
1,Boston Celtics,2017-2018,Kyrie Irving,25,25,25,31.8,8.7,17.8,.490,2.1,5.7,.373,6.6,12.1,.545,.549,4.0,4.6,.868,0.5,2.6,3.1,5.0,1.5,0.3,2.3,2.1,23.5
2,Boston Celtics,2017-2018,Jaylen Brown,21,24,24,31.4,5.3,11.7,.457,1.8,4.5,.402,3.5,7.2,.491,.534,2.3,3.8,.604,1.1,4.8,5.9,1.3,1.1,0.3,1.5,2.9,14.8
3,Boston Celtics,2017-2018,Marcus Smart,23,24,4,30.8,3.0,9.5,.317,1.3,4.5,.294,1.7,4.9,.339,.388,2.0,2.8,.731,0.9,3.2,4.1,5.4,1.2,0.5,2.4,2.5,9.4
4,Boston Celtics,2017-2018,Jayson Tatum,19,26,26,30.5,4.7,9.2,.508,1.6,3.0,.519,3.1,6.1,.503,.595,3.2,3.8,.828,0.8,4.7,5.5,1.4,1.0,0.8,1.3,2.3,14.0
5,Boston Celtics,2017-2018,Marcus Morris,28,15,9,24.1,4.4,10.4,.423,1.3,3.7,.345,3.1,6.7,.465,.484,2.5,3.0,.844,0.4,5.2,5.6,1.5,0.7,0.3,1.1,1.7,12.6
6,Boston Celtics,2017-2018,Terry Rozier,23,26,0,23.3,3.2,8.4,.374,1.6,4.4,.360,1.6,4.0,.390,.468,1.2,1.5,.800,0.7,3.8,4.5,2.0,1.0,0.0,0.7,1.5,9.1
7,Boston Celtics,2017-2018,Aron Baynes,31,26,15,17.6,2.3,4.8,.476,0.0,0.1,.000,2.3,4.7,.488,.476,1.0,1.5,.692,1.8,3.3,5.2,0.9,0.3,0.7,0.9,2.0,5.7
8,Boston Celtics,2017-2018,Semi Ojeleye,23,25,0,14.2,0.8,2.5,.323,0.6,2.0,.300,0.2,0.5,.417,.444,0.4,0.6,.625,0.5,1.5,2.0,0.2,0.3,0.0,0.3,1.0,2.6
9,Boston Celtics,2017-2018,Daniel Theis,25,24,2,12.5,1.8,3.3,.564,0.1,0.6,.214,1.7,2.7,.641,.583,0.8,1.0,.750,1.4,2.8,4.2,0.5,0.5,0.8,1.3,2.3,4.5
