,Team,Name,Height,Weight,Birthdate,Experience,College
0,Brooklyn Nets,Quincy Acy,6-7,240,"October 6, 1990",4,Baylor University
1,Brooklyn Nets,Anthony Bennett,6-8,245,"March 14, 1993",3,"University of Nevada, Las Vegas"
2,Brooklyn Nets,Bojan Bogdanovic,6-8,216,"April 18, 1989",2,
3,Brooklyn Nets,Trevor Booker,6-8,228,"November 25, 1987",6,Clemson University
4,Brooklyn Nets,Spencer Dinwiddie,6-6,200,"April 6, 1993",2,University of Colorado
5,Brooklyn Nets,Yogi Ferrell,6-0,180,"May 9, 1993",0,Indiana University
6,Brooklyn Nets,Randy Foye,6-4,213,"September 24, 1983",10,Villanova University
7,Brooklyn Nets,Archie Goodwin,6-5,200,"August 17, 1994",3,University of Kentucky
8,Brooklyn Nets,Justin Hamilton,7-0,260,"April 1, 1990",2,Louisiana State University
9,Brooklyn Nets,Joe Harris,6-6,219,"September 6, 1991",2,University of Virginia
10,Brooklyn Nets,Rondae Hollis-Jefferson,6-7,220,"January 3, 1995",1,University of Arizona
11,Brooklyn Nets,Sean Kilpatrick,6-4,210,"January 6, 1990",2,University of Cincinnati
12,Brooklyn Nets,Caris LeVert,6-7,203,"August 25, 1994",0,University of Michigan
13,Brooklyn Nets,Jeremy Lin,6-3,200,"August 23, 1988",6,Harvard University
14,Brooklyn Nets,Brook Lopez,7-0,275,"April 1, 1988",8,Stanford University
15,Brooklyn Nets,Chris McCullough,6-11,200,"February 5, 1995",1,Syracuse University
16,Brooklyn Nets,K.J. McDaniels,6-6,205,"February 9, 1993",2,Clemson University
17,Brooklyn Nets,Andrew Nicholson,6-9,250,"December 8, 1989",4,St. Bonaventure University
18,Brooklyn Nets,Luis Scola,6-9,240,"April 30, 1980",9,
19,Brooklyn Nets,Greivis Vasquez,6-6,217,"January 16, 1987",6,University of Maryland
20,Brooklyn Nets,Isaiah Whitehead,6-4,213,"March 8, 1995",0,Seton Hall University
