,name,height,weight,bday,exp,college
0,Trevor Ariza,6-8,215,"June 30, 1985",11,"University of California, Los Angeles"
1,Michael Beasley,6-9,235,"January 9, 1989",7,Kansas State University
2,Patrick Beverley,6-1,185,"July 12, 1988",3,University of Arkansas
3,Corey Brewer,6-9,186,"March 5, 1986",8,University of Florida
4,Clint Capela,6-10,240,"May 18, 1994",1,
5,Sam Dekker,6-9,230,"May 6, 1994",0,University of Wisconsin
6,Andrew Goudelock,6-3,200,"December 7, 1988",2,College of Charleston
7,James Harden,6-5,220,"August 26, 1989",6,Arizona State University
8,Montrezl Harrell,6-8,240,"January 26, 1994",0,University of Louisville
9,Chuck Hayes,6-6,240,"June 11, 1983",10,University of Kentucky
10,Dwight Howard,6-11,265,"December 8, 1985",11,
11,Terrence Jones,6-9,252,"January 9, 1992",3,University of Kentucky
12,Ty Lawson,5-11,195,"November 3, 1987",6,University of North Carolina
13,K.J. McDaniels,6-6,205,"February 9, 1993",1,Clemson University
14,Donatas Motiejunas,7-0,222,"September 20, 1990",3,
15,Josh Smith,6-9,225,"December 5, 1985",11,
16,Jason Terry,6-2,185,"September 15, 1977",16,University of Arizona
17,Marcus Thornton,6-4,205,"June 5, 1987",6,Louisiana State University
